Annee;Numero du trimestre;Paris;Seine-et-Marne;Yvelines;Essonne;Hauts-de-Seine;Seine-Saint-Denis;Val-de-Marne;Val-d'Oise
1987;4;8,7;6,5;5,4;5,9;7,1;9,7;7,4;7,7
1988;3;8,9;6,4;5,3;5,6;6,7;9,6;7,1;7,5
1988;4;8,8;6,2;5,1;5,4;6,6;9,4;6,9;7,3
1989;2;8,5;5,9;4,8;5,1;6,1;8,9;6,4;6,8
1989;3;8,6;5,8;4,7;5,1;6;8,9;6,4;6,7
1990;3;9;5,2;4,5;4,4;5,7;8,4;6,1;6,1
1991;1;9,4;5,1;4,5;4,6;5,8;8,7;6,3;6,2
1991;4;9,8;5,4;4,9;5;6,1;9,4;6,6;6,8
1992;2;9,8;5,8;5,5;5,6;6,7;9,7;7;7,4
1993;1;10,1;6,5;6,4;6,7;7,9;11,5;8,2;8,4
1993;3;10,2;7,3;7,2;7,4;8,6;12,4;9;9,4
1994;1;10,5;8;7,7;7,8;9,1;13,2;9,4;10,1
1996;4;10,3;8,2;7,5;7,8;8,7;13,8;9,2;10,1
1997;1;10,3;8,4;7,6;7,9;8,8;13,9;9,4;10,2
1997;3;10,2;8,4;7,5;7,8;8,8;14;9,5;10,2
1998;1;10;8;7,1;7,4;8,5;13,7;9,3;9,7
1998;2;10;7,8;7;7,4;8,4;13,8;9,3;9,6
1998;3;10,1;7,9;7;7,4;8,3;13,9;9,3;9,6
2003;4;9,7;7;7;7;8,1;12,6;8,3;9,1
2006;1;9,2;7,3;6,9;7;7,9;12,5;8,4;9,4
2008;2;7,1;5,6;5,3;5,1;5,8;9,6;6,4;7,4
2008;4;7,1;5,9;5,5;5,5;6;9,7;6,5;7,6
2011;1;8,3;7,3;6,7;6,7;7,2;11,6;8;9,3
